ID;Marital status;Application mode;Application order;Course;Daytime/evening attendance;Previous qualification;Previous qualification (grade);Nacionality;Mother's qualification;Father's qualification;Mother's occupation;Father's occupation;Admission grade;Displaced;Educational special needs;Debtor;Tuition fees up to date;Gender;Scholarship holder;Age at enrollment;International;Curricular units 1st sem (credited);Curricular units 1st sem (enrolled);Curricular units 1st sem (evaluations);Curricular units 1st sem (approved);Curricular units 1st sem (grade);Curricular units 1st sem (without evaluations);Curricular units 2nd sem (credited);Curricular units 2nd sem (enrolled);Curricular units 2nd sem (evaluations);Curricular units 2nd sem (approved);Curricular units 2nd sem (grade);Curricular units 2nd sem (without evaluations);Unemployment rate;Inflation rate;GDP;Target
9f40ea4f-28f3-4815-a170-3068c20534e7;1;17;5;171;1;1;122.0;1;19;12;5;9;127.3;1;0;0;1;1;0;20;0;0;0;0;0;0.0;0;0;0;0;0;0.0;0;10.8;1.4;1.74;Dropout
f10e60a0-5022-401b-b548-5371cb981629;1;15;1;9254;1;1;160.0;1;1;3;3;3;142.5;1;0;0;0;1;0;19;0;0;6;6;6;14.0;0;0;6;6;6;13.666666666666666;0;13.9;-0.3;0.79;Graduate
7a93b21c-a640-4141-9759-2834adffe5fa;1;1;5;9070;1;1;122.0;1;37;37;9;9;124.8;1;0;0;0;1;0;19;0;0;6;0;0;0.0;0;0;6;0;0;0.0;0;10.8;1.4;1.74;Dropout
f9ccc95a-e260-45b3-b8aa-76061bdc4134;1;17;2;9773;1;1;122.0;1;38;37;5;3;119.6;1;0;0;1;0;0;20;0;0;6;8;6;13.428571428571429;0;0;6;10;5;12.4;0;9.4;-0.8;-3.12;Graduate
4c69ca11-257d-49fb-a963-0bdd5bbe965c;2;39;1;8014;0;1;100.0;1;37;38;9;9;141.5;0;0;0;1;0;0;45;0;0;6;9;5;12.333333333333334;0;0;6;6;6;13.0;0;13.9;-0.3;0.79;Graduate
fc55a0c9-9fae-442b-8cb5-87c41153aef7;2;39;1;9991;0;19;133.1;1;37;37;9;7;114.8;0;0;1;1;1;0;50;0;0;5;10;5;11.857142857142858;0;0;5;17;5;11.5;5;16.2;0.3;-0.92;Graduate
82b2c2c8-b8dd-417e-9e7b-11c836542b10;1;1;1;9500;1;1;142.0;1;19;38;7;10;128.4;1;0;0;1;0;1;18;0;0;7;9;7;13.3;0;0;8;8;8;14.345;0;15.5;2.8;-4.06;Graduate
1afba56f-1de7-4e04-9980-6c9bd59e933d;1;18;4;9254;1;1;119.0;1;37;37;9;9;113.1;1;0;0;0;1;0;22;0;0;5;5;0;0.0;0;0;5;5;0;0.0;0;15.5;2.8;-4.06;Dropout
3d7b1ddc-5505-4aa3-ac64-4153b134ed93;1;1;3;9238;1;1;137.0;62;1;1;9;9;129.3;0;0;0;1;0;1;21;1;0;6;8;6;13.875;0;0;6;7;6;14.142857142857142;0;16.2;0.3;-0.92;Graduate
1ddb43cd-42e2-4a2e-b37c-b2e753a21434;1;1;1;9238;1;1;138.0;1;1;19;4;7;123.0;1;0;1;0;0;0;18;0;0;6;9;5;11.4;0;0;6;14;2;13.5;0;8.9;1.4;3.51;Dropout
6f3b9c82-17f3-4888-9d96-1fa3ff358972;1;1;1;9670;1;1;139.0;1;38;19;5;7;130.6;1;0;0;1;0;0;18;0;0;6;6;6;12.333333333333334;0;0;6;7;5;14.2;0;13.9;-0.3;0.79;Graduate
473776f2-fd4c-4097-8b45-5ca55c9f570b;1;1;1;9500;1;1;136.0;1;19;38;9;9;119.3;1;0;0;1;0;1;18;0;0;8;8;7;13.214285714285714;0;0;8;8;7;13.214285714285714;0;12.7;3.7;-1.7;Graduate
e3e7b817-c0e8-4cfc-85af-39bf1ffaac52;1;1;2;9853;1;1;133.0;1;19;37;4;9;130.2;1;0;0;1;0;0;19;0;0;6;6;0;0.0;0;0;6;0;0;0.0;0;12.7;3.7;-1.7;Dropout
8b0f5f33-5fa2-48d1-900a-7233053532b5;1;53;1;9254;1;42;110.0;1;1;1;4;7;111.8;1;0;0;1;0;1;21;0;0;6;7;6;10.571428571428571;0;0;6;8;5;11.0;0;8.9;1.4;3.51;Graduate
9ef0ed58-f4a1-4f44-a425-4dda5cf6dd3a;1;1;1;9085;1;1;149.0;1;38;37;5;5;137.1;1;0;0;1;0;1;18;0;0;5;7;4;13.25;0;0;5;5;5;12.0;0;10.8;1.4;1.74;Graduate
988af5e5-e996-46bd-a3a0-3216297e99e1;1;1;1;9773;1;1;127.0;1;19;37;9;3;120.7;1;0;0;1;0;0;20;0;0;6;6;5;13.2;0;0;6;7;0;0.0;0;15.5;2.8;-4.06;Dropout
24233aee-04d5-48f8-809d-14dc66ee4b11;1;18;1;9238;1;1;137.0;1;19;38;5;8;137.4;1;0;0;1;0;0;18;0;0;6;10;1;12.0;0;0;6;14;2;11.0;0;10.8;1.4;1.74;Enrolled
